LOSS: 11.462902069091797
i: -99; Actual: 0; Predicted: 0.000000
i: -98; Actual: 0; Predicted: 0.000000
i: -97; Actual: 0; Predicted: 0.000000
i: -96; Actual: 0; Predicted: 0.000000
i: -95; Actual: 0; Predicted: 0.000000
i: -94; Actual: 0; Predicted: 0.000000
i: -93; Actual: 0; Predicted: 0.000000
i: -92; Actual: 0; Predicted: 0.000000
i: -91; Actual: 0; Predicted: 0.000000
i: -90; Actual: 0; Predicted: 0.000000
i: -89; Actual: 0; Predicted: 0.000000
i: -88; Actual: 0; Predicted: 0.000000
i: -87; Actual: 0; Predicted: 0.000000
i: -86; Actual: 0; Predicted: 0.000000
i: -85; Actual: 0; Predicted: 0.000000
i: -84; Actual: 0; Predicted: 0.000000
i: -83; Actual: 0; Predicted: 0.000000
i: -82; Actual: 0; Predicted: 0.000000
i: -81; Actual: 0; Predicted: 0.000000
i: -80; Actual: 0; Predicted: 0.000000
i: -79; Actual: 0; Predicted: 0.000000
i: -78; Actual: 0; Predicted: 0.000000
i: -77; Actual: 0; Predicted: 0.000000
i: -76; Actual: 0; Predicted: 0.000000
i: -75; Actual: 0; Predicted: 0.000000
i: -74; Actual: 0; Predicted: 0.000000
i: -73; Actual: 0; Predicted: 0.000000
i: -72; Actual: 0; Predicted: 0.000000
i: -71; Actual: 0; Predicted: 0.000000
i: -70; Actual: 0; Predicted: 0.000000
i: -69; Actual: 0; Predicted: 0.000000
i: -68; Actual: 0; Predicted: 0.000000
i: -67; Actual: 0; Predicted: 0.000000
i: -66; Actual: 0; Predicted: 0.000000
i: -65; Actual: 0; Predicted: 0.000000
i: -64; Actual: 0; Predicted: 0.000000
i: -63; Actual: 0; Predicted: 0.000000
i: -62; Actual: 0; Predicted: 0.000000
i: -61; Actual: 0; Predicted: 0.000000
i: -60; Actual: 0; Predicted: 0.000000
i: -59; Actual: 0; Predicted: 0.000000
i: -58; Actual: 0; Predicted: 0.000000
i: -57; Actual: 0; Predicted: 0.000000
i: -56; Actual: 0; Predicted: 0.000000
i: -55; Actual: 0; Predicted: 0.000000
i: -54; Actual: 0; Predicted: 0.000000
i: -53; Actual: 0; Predicted: 0.000000
i: -52; Actual: 0; Predicted: 0.000000
i: -51; Actual: 0; Predicted: 0.000000
i: -50; Actual: 0; Predicted: 0.000000
i: -49; Actual: 0; Predicted: 0.000000
i: -48; Actual: 0; Predicted: 0.000000
i: -47; Actual: 0; Predicted: 0.000000
i: -46; Actual: 0; Predicted: 0.000000
i: -45; Actual: 0; Predicted: 0.000000
i: -44; Actual: 0; Predicted: 0.000000
i: -43; Actual: 0; Predicted: 0.000000
i: -42; Actual: 0; Predicted: 0.000000
i: -41; Actual: 0; Predicted: 0.000000
i: -40; Actual: 0; Predicted: 0.000000
i: -39; Actual: 0; Predicted: 0.000000
i: -38; Actual: 0; Predicted: 0.000000
i: -37; Actual: 0; Predicted: 0.000000
i: -36; Actual: 0; Predicted: 0.000000
i: -35; Actual: 0; Predicted: 0.000000
i: -34; Actual: 0; Predicted: 0.000000
i: -33; Actual: 0; Predicted: 0.000000
i: -32; Actual: 0; Predicted: 0.000000
i: -31; Actual: 0; Predicted: 0.000000
i: -30; Actual: 0; Predicted: 0.000000
i: -29; Actual: 0; Predicted: 0.000000
i: -28; Actual: 0; Predicted: 0.000000
i: -27; Actual: 0; Predicted: 0.000000
i: -26; Actual: 0; Predicted: 0.000000
i: -25; Actual: 0; Predicted: 0.000000
i: -24; Actual: 0; Predicted: 0.000000
i: -23; Actual: 0; Predicted: 0.000000
i: -22; Actual: 0; Predicted: 0.000000
i: -21; Actual: 0; Predicted: 0.000000
i: -20; Actual: 0; Predicted: 0.000000
i: -19; Actual: 0; Predicted: 0.000000
i: -18; Actual: 0; Predicted: 0.000000
i: -17; Actual: 0; Predicted: 0.000000
i: -16; Actual: 0; Predicted: 0.000000
i: -15; Actual: 0; Predicted: 0.326298
i: -14; Actual: 0; Predicted: 0.058121
i: -13; Actual: 0; Predicted: 0.350378
i: -12; Actual: 0; Predicted: 0.082369
i: -11; Actual: 0; Predicted: 0.339090
i: -10; Actual: 0; Predicted: 0.246771
i:  -9; Actual: 0; Predicted: 0.422050
i:  -8; Actual: 0; Predicted: 0.110112
i:  -7; Actual: 0; Predicted: 0.191883
i:  -6; Actual: 0; Predicted: 0.340588
i:  -5; Actual: 0; Predicted: 0.179163
i:  -4; Actual: 0; Predicted: 0.559864
i:  -3; Actual: 0; Predicted: 0.515504
i:  -2; Actual: 0; Predicted: 0.248823
i:  -1; Actual: 0; Predicted: 0.441626
i:   0; Actual: 0; Predicted: 0.319809
i:   1; Actual: 0; Predicted: 0.230212
i:   2; Actual: 0; Predicted: 0.409587
i:   3; Actual: 0; Predicted: 0.306960
i:   4; Actual: 0; Predicted: 0.330125
i:   5; Actual: 0; Predicted: 0.724512
i:   6; Actual: 0; Predicted: 0.449183
i:   7; Actual: 0; Predicted: 0.504555
i:   8; Actual: 1; Predicted: 0.549602
i:   9; Actual: 1; Predicted: 0.586207
i:  10; Actual: 1; Predicted: 0.692776
i:  11; Actual: 1; Predicted: 0.754897
i:  12; Actual: 1; Predicted: 0.757130
i:  13; Actual: 1; Predicted: 0.747396
i:  14; Actual: 1; Predicted: 0.781256
i:  15; Actual: 1; Predicted: 0.707035
i:  16; Actual: 1; Predicted: 0.386199
i:  17; Actual: 1; Predicted: 0.793511
i:  18; Actual: 1; Predicted: 0.854213
i:  19; Actual: 1; Predicted: 0.773689
i:  20; Actual: 1; Predicted: 0.433768
i:  21; Actual: 1; Predicted: 0.676599
i:  22; Actual: 1; Predicted: 0.821211
i:  23; Actual: 1; Predicted: 0.463798
i:  24; Actual: 1; Predicted: 0.410257
i:  25; Actual: 1; Predicted: 0.757799
i:  26; Actual: 1; Predicted: 0.682562
i:  27; Actual: 1; Predicted: 0.567264
