Yard: -99; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -98; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -97; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -96; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -95; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -94; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -93; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -92; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -91; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -90; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -89; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -88; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -87; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -86; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -85; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -84; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -83; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -82; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -81; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -80; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -79; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -78; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -77; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -76; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -75; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -74; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -73; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -72; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -71; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -70; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -69; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -68; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -67; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -66; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -65; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -64; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -63; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -62; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -61; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -60; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -59; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -58; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -57; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -56; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -55; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -54; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -53; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -52; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -51; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -50; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -49; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -48; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -47; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -46; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -45; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -44; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -43; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -42; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -41; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -40; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -39; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -38; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -37; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -36; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -35; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -34; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -33; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -32; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -31; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -30; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -29; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -28; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -27; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -26; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -25; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -24; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -23; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -22; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -21; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -20; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -19; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -18; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -17; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -16; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -15; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -14; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -13; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -12; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -11; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard: -10; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
